Афганістан,10.08.2016,біж,30/2018,13.02.2018
Молдова,17.08.2016,шлюб,30/2018,13.02.2018
Азербайджан,20.04.2016,5р,30/2018,13.02.2018
Вірменія,10.08.2016,5р,30/2018,13.02.2018
Судан,04.10.2016,5р,30/2018,13.02.2018
Йорданія,07.12.2016,5р,184/2017,14.07.2017
Сирія,07.12.2016,шлюб,184/2017,14.07.2017
Йорданія,05.12.2016,5р,184/2017,14.07.2017
Ірак,17.09.2016,шлюб,385/2017,22.11.2017
Молдова,07.06.2016,шлюб,385/2017,22.11.2017
Молдова,29.06.2016,шлюб,30/2018,13.02.2018
Казахстан,30.08.2016,шлюб,385/2017,22.11.2017
Сирія,10.03.2016,шлюб,30/2018,13.02.2018
Афганістан,23.07.2016,біж,184/2017,14.07.2017
Молдова,15.07.2016,дит,,
Туреччина,05.04.2016,біж,30/2018,13.02.2018
ОБГ,11.06.2016,шлюб,30/2018,13.02.2018
Грузія,27.05.2016,шлюб,,
Афганістан,28.04.2016,біж,184/2017,14.07.2017
Сирія,23.12.2016,5р,184/2017,14.07.2017
ОБГ,14.01.2016,шлюб,30/2018,13.02.2018
Сирія,29.11.2016,5р,385/2017,22.11.2017
Йорданія,30.03.2016,шлюб,,
ОБГ,05.04.2016,шлюб,,
Вірменія,03.08.2016,5р,30/2018,13.02.2018
Вірменія,21.04.2016,5р,,
Вірменія,03.02.2016,5р,,
Грузія,09.03.2016,5р,30/2018,13.02.2018
РФ,03.02.2016,шлюб,30/2018,13.02.2018
Ангола,12.05.2016,біж,30/2018,13.02.2018
Вірменія,17.08.2016,5р,30/2018,13.02.2018
Молдова,21.10.2016,шлюб,,
Афганістан,24.06.2016,шлюб,,
РФ,20.09.2016,шлюб,,
РФ,29.12.2017,5р,,
Афганістан,03.02.2016,біж,,
Азербайджан,19.06.2016,5р,,
Вірменія,16.08.2016,дит,,
Сирія,10.02.2016,5р,,
Афганістан,04.02.2016,шлюб,,
Сирія,30.12.2016,шлюб,,
Сирія,07.07.2016,5р,,
Сирія,29.06.2016,5р,,
Судан,16.02.2016,шлюб,,
Афганістан,24.05.2016,5р,,
Ірак,03.02.2016,5р,,
ОБГ,07.09.2016,3р,,
Сирія,12.01.2017,шлюб,,
Сирія,30.12.2016,шлюб,,
Афганістан,12.07.2016,біж,,
Пакістан,22.11.2016,шлюб,,
Сирія,22.12.2016,5р,30/2018,13.02.2018
Молдова,04.11.2016,шлюб,30/2018,13.02.2018
Азербайджан,01.09.2016,шлюб,,
РФ,31.08.2016,5р,,
Сирія,23.12.2016,шлюб,,
Вірменія,26.10.2016,шлюб,,
Вірменія,25.06.2016,шлюб,,
РФ,28.10.2016,5р,,
Сирія,23.12.2016,шлюб,,
Грузія,08.08.2017,шлюб,,
Сирія,08.02.2017,5р,,
Азербайджан,16.09.2016,5р,,
Молдова,09.12.2016,шлюб,,
РФ,29.10.2016,шлюб,,
Афганістан,30.08.2016,біж,30/2018,13.02.2018
Сирія,28.04.2016,5р,,
Вірменія,01.11.2017,шлюб,,
Сирія,29.11.2017,шлюб,,
ОБГ,20.12.2016,3р,,
Ємен,20.10.2016,шлюб,,
Афганістан,03.06.2016,5р,,
Сирія,22.02.2017,шлюб,184/2017,14.07.2017
Афганістан,28.02.2016,біж,184/2017,14.07.2017
Афганістан,28.02.2016,біж,291/2017,28.09.2017
Сирія,29.12.2017,шлюб,,
Конго,02.03.2016,біж,,
Афганістан,16.03.2016,біж,,
Вірменія,26.10.2016,5р,,
Пакістан,17.02.2016,шлюб,,
Сирія,03.03.2016,шлюб,,
Сирія,19.04.2016,шлюб,,
Йорданія,23.08.2016,шлюб,,
Непал,21.12.2016,біж,385/2017,22.11.2017
Сирія,30.12.2016,5р,,
Сирія,31.03.2016,5р,,
Сирія,02.02.2017,шлюб,,
Афганістан,24.12.2017,біж,,
Сирія,09.12.2016,шлюб,,
Пакістан,07.03.2017,шлюб,,
Сирія,07.02.2017,шлюб,,
Сирія,29.10.2017,шлюб,,
РФ,14.12.2017,шлюб,291/2017,28.09.2017
Сирія,03.06.2016,шлюб,,
Сирія,07.12.2017,шлюб,,
Сирія,07.02.2017,шлюб,,
Ліван,27.08.2016,шлюб,,
Сирія,21.03.2017,шлюб,291/2017,28.09.2017
Сирія,28.04.2016,шлюб,198/2017,26.07.2017
Бангладеш,01.04.2016,шлюб,,
Сирія,28.04.2016,шлюб,,
Сирія,22.03.2016,шлюб,,
Сирія,22.03.2016,шлюб,,
Сирія,22.12.2016,шлюб,,
Афганістан,15.07.2016,5р,,
Афганістан,20.04.2016,біж,,
Сирія,12.10.2016,5р,,
Молдова,23.09.2016,5р,,
Молдова,04.10.2016,5р,,
Молдова,21.09.2016,шлюб,,
Ірак,05.04.2017,шлюб,,
Молдова,01.11.2016,5р,,
Молдова,26.10.2016,шлюб,,
Сирія,16.03.2017,шлюб,,
Камерун,20.04.2016,шлюб,,
Молдова,07.12.2016,шлюб,,
РФ,04.10.206,шлюб,,
Молдова,16.11.2017,шлюб,,
Молдова,07.12.2016,шлюб,,
Афганістан,10.03.2017,шлюб,,
Єгипет,16.02.2017,шлюб,,
Сирія,09.12.2016,шлюб,,
РФ,22.12.2016,шлюб,,
Сирія,16.03.2017,5р,,
Афганістан,08.07.2017,біж,,
Афганістан,04.04.2017,біж,,
Вірменія,17.12.2016,5р,,
Сирія,21.03.2017,шлюб,,
Афганістан,04.04.2017,біж,291/2017,28.09.2017
Афганістан,04.04.2017,біж,,
Молдова,02.12.2016,шлюб,,
Ірак,14.04.2017,шлюб,,
Судан,01.02.2017,шлюб,,
Молдова,16.12.2016,шлюб,,
ОБГ,29.11.2016,3р,,
Сирія,06.10.2016,шлюб,,
Сирія,06.04.2017,шлюб,,
Молдова,21.09.2016,шлюб,,
Сирія,26.04.2017,шлюб,,
Сирія,21.04.2017,шлюб,,
Алжир,02.07.2016,шлюб,30/2018,13.02.2018
Афганістан,06.04.2017,біж,30/2018,13.02.2018
Афганістан,07.04.2017,біж,,
Вірменія,30.11.2016,5р,,
Сирія,04.10.2016,шлюб,,
Сирія,10.05.2017,шлюб,,
Сирія,27.04.2017,шлюб,,
Грузія,02.12.2016,шлюб,,
Сирія,29.06.2016,шлюб,,
Туреччина,01.06.2016,шлюб,,
Сирія,20.04.2017,шлюб,291/2017,28.09.2017
ОБГ,12.05.2017,шлюб,,
Сирія,31.05.2017,шлюб,,
Ірак,13.07.2016,шлюб,,
Молдова,19.11.2016,шлюб,,
Алжир,05.04.2016,шлюб,,
Афганістан,17.06.2016,шлюб,,
Ірак,29.04.2017,5р,,
Молдова,23.12.2016,шлюб,,
Вірменія,11.03.2017,5р,,
Молдова,05.10.2016,шлюб,,
Єгипет,24.05.2017,шлюб,,
Пакістан,14.06.2017,шлюб,,
Сирія,22.07.2017,шлюб,,
Афганістан,19.01.2017,5р,,
Афганістан,28.12.2017,шлюб,,
Афганістан,23.05.2017,біж,,
Сирія,16.04.2017,шлюб,,
ОБГ,23.12.2016,шлюб,,
Молдова,30.11.2017,шлюб,,
Ірак,29.04.2017,5р,,
Афганістан,16.05.2016,біж,385/2017,22.11.2017
Афганістан,01.06.2017,біж,,
Молдова,14.12.2016,шлюб,,
Непал,25.05.2017,біж,291/2017,28.09.2017
Сирія,14.03.2017,шлюб,,
Вірменія,30.03.2017,5р,,
Афганістан,06.04.2017,біж,291/2017,28.09.2017
Афганістан,18.06.2017,шлюб,,
Афганістан,27.04.2017,біж,385/2017,22.11.2017
Сирія,07.09.2016,шлюб,,
Єгипет,30.08.2016,шлюб,,
Сирія,22.03.2017,шлюб,,
Сирія,30.11.2016,шлюб,,
Афганістан,23.05.2017,біж,,
Афганістан,16.06.2017,5р,,
Вірменія,13.12.2017,шлюб,,
Сирія,14.06.2017,шлюб,,
Афганістан,02.01.2017,біж,,
Афганістан,13.08.2016,5р,,
Афганістан,20.04.2017,біж,,
Афганістан,26.08.2016,5р,,
Ліван,28.04.2017,шлюб,,
Сирія,04.07.2016,шлюб,,
РФ,13.12.2017,шлюб,,
Афганістан,19.01.2017,шлюб,,
Сирія,23.08.2016,шлюб,,
Ірак,14.06.2017,шлюб,,
Ліван,22.11.2017,шлюб,,
Індія,08.07.2017,шлюб,,
Сирія,29.05.2017,5р,,
Сирія,09.07.2017,шлюб,,
Сирія,17.08.2016,шлюб,,
Афганістан,31.05.2017,біж,,
Афганістан,29.06.2017,біж,,
Афганістан,28.06.2017,біж,,
Сирія,16.08.2016,шлюб,,
РФ,30.12.2016,5р,,
РФ,30.12.2016,шлюб,,
Ліван,30.11.2016,шлюб,,
Вірменія,07.02.2017,5р,,
Сирія,11.08.2016,5р,,
Вірменія,18.01.2017,шлюб,,
Афганістан,13.06.2017,5р,,
Афганістан,01.01.2017,біж,,
Ірак,30.06.2017,шлюб,,
Афганістан,24.05.2017,5р,,
Сирія,08.11.2016,шлюб,,
РФ,25.01.2017,5р,,
Вірменія,17.03.2017,5р,,
ОБГ,18.01.2017,3р,,
РФ,25.07.2017,шлюб,,
Афганістан,17.07.2016,5р,,
РФ,01.03.2017,шлюб,,
Вірменія,04.07.2017,5р,,
Сирія,28.07.2017,шлюб,,
РФ,01.04.2017,5р,,
РФ,08.02.2017,5р,,
ОБГ,01.02.2017,3р,,
Молдова,23.03.2017,шлюб,,
Молдова,28.01.2017,шлюб,,
РФ,17.05.2017,шлюб,,
Афганістан,01.07.2017,біж,,
ОБГ,16.05.2017,шлюб,,
Молдова,21.03.2017,шлюб,,
Азербайджан,18.03.2017,5р,,
Афганістан,22.06.2017,біж,,
ОБГ,01.03.2017,шлюб,,
ОБГ,30.05.2017,3р,,
РФ,19.05.2017,5р,,
Афганістан,16.05.2017,біж,,
Азербайджан,25.07.2017,5р,,
Афганістан,09.08.2017,біж,,
Ірак,03.09.2016,шлюб,,
Ефіопія,13.07.2017,біж,,
Афганістан,08.06.2017,біж,,
Іран,11.04.2017,шлюб,,
ОБГ,12.04.2017,шлюб,,
Молдова,20.04.2017,шлюб,,
Сирія,25.01.2017,5р,,
Афганістан,27.12.2016,5р,,
Вірменія,12.04.2017,5р,,
Афганістан,17.05.2017,5р,,
Туреччина,22.11.2016,5р,,
Узбекистан,23.03.2017,шлюб,,
Сирія,08.09.2016,шлюб,,
Сирія,15.10.2016,5р,,
Ірак,08.06.2017,шлюб,,
